Traditional,Simplified,Pinyin
情報,情报,qíngbào
前來,前来,qiánlái
飛彈,飞弹,fēidàn
虎,虎,hǔ
寂寞,寂寞,jímò
專題,专题,zhuāntí
排名,排名,páimíng
怎樣,怎样,zěnyàng
案例,案例,ànlì
傳送,传送,chuánsòng
排名,排名,páimíng
允許,允许,yǔnxǔ
允許,允许,yǔnxǔ
認定,认定,rèndìng
威脅,威胁,wēixié
認定,认定,rèndìng
大聲,大声,dàshēng
傳送,传送,chuánsòng
當做,当做,dāngzuò
經銷商,经销商,jīngxiāoshāng
將近,将近,jiāngjìn
戰,战,zhàn
愛心,爱心,àixīn
回國,回国,huíguó
跑到,跑到,pǎodào
過來,过来,guòlái
印度,印度,yìndù
音,音,yīn
待遇,待遇,dàiyū
開會,开会,kāihuì
身分,身分,shēnfèn
存,存,cún
留學,留学,liúxué
重要性,重要性,zhòngyàoxìng
時機,时机,shíjī
國科會,国科会,guókēhuì
時刻,时刻,shíkè
節,节,jié
開會,开会,kāihuì
遭到,遭到,zāodào
不已,不已,bùyǐ
中油,中油,zhōngyóu
景氣,景气,jǐngqì
補充,补充,bǔchōng
公主,公主,gōngzhǔ
千萬,千万,qiānwàn
公布,公布,gōngbù
公布,公布,gōngbù
豬,猪,zhū
潛力,潜力,qiánlì
黃金,黄金,huángjīn
單元,单元,dānyuán
街道,街道,jiēdào
略,略,luè
財產權,财产权,cáichǎnquán
地理,地理,dìlǐ
周,周,zhōu
到達,到达,dàodá
電信局,电信局,diànxìnjú
促銷,促销,cùxiāo
工程師,工程师,gōngchéngshī
確實,确实,quèshí
遠距,远距,yuǎnjù
驚人,惊人,jīngrén
為,为,wèi
促銷,促销,cùxiāo
為,为,wèi
彩色,彩色,cǎisè
真理,真理,zhēnlǐ
宣佈,宣佈,xuānbù
變動,变动,biàndòng
點,点,diǎn
變動,变动,biàndòng
市政府,市政府,shìzhèngfǔ
躺,躺,tǎng
漸,渐,jiàn
普通,普通,pǔtōng
進來,进来,jìnlái
涉及,涉及,shèjí
保護區,保护区,bǎohùqū
版本,版本,bǎnběn
制定,制定,zhìdìng
制定,制定,zhìdìng
定義,定义,dìngyì
事項,事项,shìxiàng
法則,法则,fǎzé
否認,否认,fǒurèn
抱怨,抱怨,bàoyuàn
宜蘭,宜兰,yílán
人群,人群,rénqún
廣大,广大,guǎngdà
鄰居,邻居,línjū
模型,模型,móxíng
忍不住,忍不住,rěnbúzhù
現行,现行,xiànxíng
瓷器,瓷器,cíqì
荷蘭,荷兰,hélán
家鄉,家乡,jiāxiāng
前途,前途,qiántú
花蓮,花莲,huālián
含,含,hán
合約,合约,héyuē
官方,官方,guānfāng
成效,成效,chéngxiào
克服,克服,kèfú
循環,循环,xúnhuán
新鮮,新鲜,xīnxiān
和解,和解,héjiě
和解,和解,héjiě
原先,原先,yuánxiān
金,金,jīn
油,油,yóu
臺,台,tái
巨大,巨大,jùdà
公車,公车,gōngchē
傳說,传说,chuánshuō
動力,动力,dònglì
推行,推行,tuīxíng
雞,鸡,jī
回應,回应,huíyìng
介入,介入,jièrù
內在,内在,nèizài
人體,人体,réntǐ
介入,介入,jièrù
謂,谓,wèi
臺大,台大,táidà
確,确,què
能,能,néng
美術,美术,měishù
活力,活力,huólì
致,致,zhì
活動,活动,huódòng
完,完,wán
那麼多,那么多,nàmeduō
物理,物理,wùlǐ
推行,推行,tuīxíng
終,终,zhōng
分成,分成,fēnchéng
台中市,台中市,táizhōngshì
代理,代理,dàilǐ
代理,代理,dàilǐ
樂趣,乐趣,lèqù
超級,超级,chāojí
勞動,劳动,láodòng
勞動,劳动,láodòng
唯有,唯有,wéiyǒu
宣傳,宣传,xuānchuán
交給,交给,jiāogěi
受傷,受伤,shòushāng
講師,讲师,jiǎngshī
抵達,抵达,dǐdá
體重,体重,tǐzhòng
不見得,不见得,bújiàndé
領導,领导,lǐngdǎo
蝸牛,蜗牛,guānióu
群眾,群众,qúnzhòng
抵達,抵达,dǐdá
刻意,刻意,kèyì
李登輝,李登辉,lǐdēnghuī
合作社,合作社,hézuòshè
印尼,印尼,yìnní
規格,规格,guīgé
價值觀,价值观,jiàzhíguān
依賴,依赖,yīlài
百貨公司,百货公司,bǎihuògōngsī
依賴,依赖,yīlài
負擔,负担,fùdān
封,封,fēng
馬路,马路,mǎlù
通知,通知,tōngzhī
普及,普及,pǔjí
坪,坪,píng
綠,绿,lù
不安,不安,bùān
不安,不安,bùān
鐵路,铁路,tiělù
普及,普及,pǔjí
錄影帶,录影带,lùyǐngdài
局面,局面,júmiàn
團隊,团队,tuánduì
優先,优先,yōuxiān
對,对,duì
進去,进去,jìnqù
黃,黄,huáng
神經,神经,shénjīng
近來,近来,jìnlái
英語,英语,yīngyǔ
刺激,刺激,cìjī
羊,羊,yáng
老虎,老虎,lǎohǔ
所得,所得,suǒdé
健全,健全,jiànquán
邊,边,biān
主體,主体,zhǔtǐ
大致,大致,dàzhì
對手,对手,duìshǒu
還要,还要,háiyào
健全,健全,jiànquán
建構,建构,jiàngòu
星星,星星,xīngxīng
建構,建构,jiàngòu
大哥,大哥,dàgē
培育,培育,péiyū
用心,用心,yòngxīn
書記,书记,shūjì
財政部,财政部,cáizhèngbù
培育,培育,péiyū
遊行,遊行,yóuxíng
遊行,遊行,yóuxíng
行,行,xíng
太平洋,太平洋,tàipíngyáng
造,造,zào
咖啡,咖啡,kāfēi
名單,名单,míngdān
注重,注重,zhùzhòng
周圍,周围,zhōuwéi
主權,主权,zhǔquán
水泥,水泥,shuǐní
近,近,jìn
合法,合法,héfǎ
便利,便利,biànlì
落後,落后,luòhòu
詢問,询问,xúnwèn
詢問,询问,xúnwèn
送給,送给,sònggěi
惟,惟,wéi
表,表,biǎo
糾紛,纠纷,jiūfēn
空中,空中,kōngzhōng
過於,过于,guòyū
任,任,rèn
晚,晚,wǎn
車站,车站,chēzhàn
有助於,有助于,yǒuzhùyū
便利,便利,biànlì
落後,落后,luòhòu
之類,之类,zhīlèi
下降,下降,xiàjiàng
下降,下降,xiàjiàng
手續,手续,shǒuxù
轉換,转换,zhuǎnhuàn
轉換,转换,zhuǎnhuàn
立法,立法,lìfǎ
刀,刀,dāo
帶給,带给,dàigěi
涵蓋,涵盖,hángài
差不多,差不多,chābùduō
主持人,主持人,zhǔchírén
完工,完工,wángōng
里,里,lǐ
楊,杨,yáng
內政部,内政部,nèizhèngbù
躲,躲,duǒ
美術館,美术馆,měishùguǎn
領先,领先,lǐngxiān
不當,不当,búdàng
不當,不当,búdàng
用地,用地,yòngdì
認知,认知,rènzhī
認知,认知,rènzhī
基層,基层,jīcéng
做出,做出,zuòchū
政權,政权,zhèngquán
