Traditional,Simplified,Pinyin
嘿,嘿,hēi
罹患,罹患,líhuàn
鼻子,鼻子,bízi5
擊出,击出,jíchū
大象,大象,dàxiàng
公立,公立,gōnglì
中部,中部,zhōngbù
退出,退出,tuìchū
生命力,生命力,shēngmìnglì
任意,任意,rènyì
敘述,叙述,xùshù
沙灘,沙滩,shātān
多元,多元,duōyuán
老人家,老人家,lǎorénjiā
深處,深处,shēnchù
吵,吵,chǎo
次,次,cì
企業家,企业家,qìyèjiā
時段,时段,shíduàn
放大,放大,fàngdà
派,派,pài
宣告,宣告,xuāngào
宣告,宣告,xuāngào
差不多,差不多,chābùduō
海域,海域,hǎiyū
烤,烤,kǎo
奇蹟,奇蹟,qíjī
播放,播放,bòfàng
操場,操场,cāochǎng
播放,播放,bòfàng
傷,伤,shāng
節奏,节奏,jiézòu
匯率,汇率,huìlù
提起,提起,tíqǐ
廢水,废水,fèishuǐ
遇,遇,yū
環,环,huán
螞蟻,蚂蚁,mǎyǐ
精力,精力,jīnglì
上任,上任,shàngrèn
全面,全面,quánmiàn
上台,上台,shàngtái
水質,水质,shuǐzhí
陷阱,陷阱,xiànjǐng
變數,变数,biànshù
規畫,规画,guīhuà
糧,粮,liáng
侵略,侵略,qīnluè
西部,西部,xībù
好手,好手,hǎoshǒu
告知,告知,gàozhī
退,退,tuì
交易所,交易所,jiāoyìsuǒ
乾,干,gān
留學生,留学生,liúxuéshēng
修飾語,修饰语,xiūshìyǔ
容納,容纳,róngnà
很少,很少,hěnshǎo
挖掘,挖掘,wājué
侵略,侵略,qīnluè
近,近,jìn
連接詞,连接词,liánjiēcí
從不,从不,cóngbù
淡水,淡水,dànshuǐ
清,清,qīng
挖掘,挖掘,wājué
孟子,孟子,mèngzi5
穩,稳,wěn
戰後,战后,zhànhòu
福,福,fú
鴨,鸭,yā
營造,营造,yíngzào
營造,营造,yíngzào
機制,机制,jīzhì
機率,机率,jīlù
賦予,赋予,fùyǔ
職員,职员,zhíyuán
現任,现任,xiànrèn
錄音帶,录音带,lùyīndài
外籍,外籍,wàijí
薄,薄,bó
時時,时时,shíshí
事務所,事务所,shìwùsuǒ
扭曲,扭曲,niǒuqū
叔叔,叔叔,shúshú
扭曲,扭曲,niǒuqū
延伸,延伸,yánshēn
哎呀,哎呀,āiyā
流動,流动,liúdòng
原諒,原谅,yuánliàng
哩,哩,li5
氣勢,气势,qìshì
畢業生,毕业生,bìyèshēng
流動,流动,liúdòng
宗旨,宗旨,zōngzhǐ
關愛,关爱,guānài
遺傳,遗传,yíchuán
包袱,包袱,bāofú
壟斷,垄断,lǒngduàn
壟斷,垄断,lǒngduàn
講到,讲到,jiǎngdào
聯賽,联赛,liánsài
辯論,辩论,biànlùn
關愛,关爱,guānài
瘦,瘦,shòu
遺傳,遗传,yíchuán
辯論,辩论,biànlùn
指令,指令,zhǐlìng
皮,皮,pí
圖形,图形,túxíng
善用,善用,shànyòng
地步,地步,dìbù
怪,怪,guài
威脅,威胁,wēixié
要不然,要不然,yàobùrán
後悔,后悔,hòuhuǐ
金牌,金牌,jīnpái
毒,毒,dú
清晰,清晰,qīngxī
草原,草原,cǎoyuán
立體,立体,lìtǐ
幼兒,幼儿,yòuér
潛水,潜水,qiánshuǐ
矮,矮,ǎi
據點,据点,jùdiǎn
賠償,赔偿,péicháng
碗,碗,wǎn
精采,精采,jīngcǎi
潛水,潜水,qiánshuǐ
頻頻,频频,pínpín
對話,对话,duìhuà
獲利,获利,huòlì
隱藏,隐藏,yǐncáng
精采,精采,jīngcǎi
召集人,召集人,zhàojírén
